5/12/1993,Not Available,Not Available,"4,245,569,745,868.36"
5/13/1993,Not Available,Not Available,"4,247,268,504,239.08"
5/14/1993,Not Available,Not Available,"4,247,908,515,485.90"
5/17/1993,Not Available,Not Available,"4,282,840,338,892.20"
5/18/1993,Not Available,Not Available,"4,284,319,830,220.98"
5/19/1993,Not Available,Not Available,"4,285,942,530,790.21"
5/20/1993,Not Available,Not Available,"4,287,296,327,978.00"
5/21/1993,Not Available,Not Available,"4,287,849,937,583.96"
5/24/1993,Not Available,Not Available,"4,289,248,864,590.92"
5/25/1993,Not Available,Not Available,"4,289,997,991,055.52"
5/26/1993,Not Available,Not Available,"4,293,295,034,918.79"
5/27/1993,Not Available,Not Available,"4,295,640,444,150.75"
5/28/1993,Not Available,Not Available,"4,296,278,014,612.43"
6/1/1993,Not Available,Not Available,"4,304,846,924,516.35"
6/2/1993,Not Available,Not Available,"4,301,597,684,725.47"
6/3/1993,Not Available,Not Available,"4,294,168,230,173.50"
6/4/1993,Not Available,Not Available,"4,301,347,713,341.66"
6/7/1993,Not Available,Not Available,"4,301,281,229,791.00"
6/8/1993,Not Available,Not Available,"4,303,726,252,363.71"
6/9/1993,Not Available,Not Available,"4,300,363,069,605.66"
6/10/1993,Not Available,Not Available,"4,298,707,666,818.39"
6/11/1993,Not Available,Not Available,"4,300,437,428,305.74"
6/14/1993,Not Available,Not Available,"4,301,108,267,950.79"
6/15/1993,Not Available,Not Available,"4,301,302,751,632.55"
6/16/1993,Not Available,Not Available,"4,302,702,770,198.75"
6/17/1993,Not Available,Not Available,"4,296,788,021,011.13"
6/18/1993,Not Available,Not Available,"4,296,985,941,229.90"
6/21/1993,Not Available,Not Available,"4,298,022,359,229.61"
6/22/1993,Not Available,Not Available,"4,299,889,449,998.07"
6/23/1993,Not Available,Not Available,"4,302,429,272,488.54"
6/24/1993,Not Available,Not Available,"4,304,357,332,097.66"
6/25/1993,Not Available,Not Available,"4,305,268,550,989.52"
6/28/1993,Not Available,Not Available,"4,308,429,367,169.37"
6/29/1993,Not Available,Not Available,"4,309,613,793,364.13"
6/30/1993,Not Available,Not Available,"4,351,950,333,834.76"
7/1/1993,Not Available,Not Available,"4,346,364,235,426.75"
7/2/1993,Not Available,Not Available,"4,336,425,589,564.94"
7/6/1993,Not Available,Not Available,"4,337,115,603,632.49"
7/7/1993,Not Available,Not Available,"4,337,775,212,166.64"
7/8/1993,Not Available,Not Available,"4,340,814,508,845.90"
7/9/1993,Not Available,Not Available,"4,336,575,146,686.68"
7/12/1993,Not Available,Not Available,"4,333,686,507,733.04"
7/13/1993,Not Available,Not Available,"4,335,589,907,030.89"
7/14/1993,Not Available,Not Available,"4,336,911,526,100.26"
7/15/1993,Not Available,Not Available,"4,333,088,457,842.09"
7/16/1993,Not Available,Not Available,"4,334,092,903,543.66"
7/19/1993,Not Available,Not Available,"4,334,398,784,435.69"
7/20/1993,Not Available,Not Available,"4,335,488,071,744.30"
7/21/1993,Not Available,Not Available,"4,336,608,558,720.53"
7/22/1993,Not Available,Not Available,"4,340,981,032,082.67"
7/23/1993,Not Available,Not Available,"4,342,543,241,528.91"
7/26/1993,Not Available,Not Available,"4,343,781,271,134.35"
7/27/1993,Not Available,Not Available,"4,346,077,874,112.13"
7/28/1993,Not Available,Not Available,"4,348,145,703,496.26"
7/29/1993,Not Available,Not Available,"4,352,487,844,872.15"
7/30/1993,Not Available,Not Available,"4,350,260,845,100.30"
8/2/1993,Not Available,Not Available,"4,360,010,907,754.76"
8/3/1993,Not Available,Not Available,"4,352,794,596,878.03"
8/4/1993,Not Available,Not Available,"4,355,231,149,967.19"
8/5/1993,Not Available,Not Available,"4,359,518,864,582.46"
8/6/1993,Not Available,Not Available,"4,355,101,320,997.57"
8/9/1993,Not Available,Not Available,"4,351,854,475,662.86"
8/10/1993,Not Available,Not Available,"4,353,854,475,662.86"
8/11/1993,Not Available,Not Available,"4,355,722,017,571.74"
8/12/1993,Not Available,Not Available,"4,359,136,129,737.25"
8/13/1993,Not Available,Not Available,"4,359,628,169,239.52"
8/16/1993,Not Available,Not Available,"4,374,900,792,622.60"
8/17/1993,Not Available,Not Available,"4,375,854,177,681.80"
8/18/1993,Not Available,Not Available,"4,376,450,226,589.55"
8/19/1993,Not Available,Not Available,"4,377,925,283,974.00"
8/20/1993,Not Available,Not Available,"4,378,964,399,702.83"
8/23/1993,Not Available,Not Available,"4,380,315,357,481.31"
8/24/1993,Not Available,Not Available,"4,381,417,735,543.13"
8/25/1993,Not Available,Not Available,"4,383,913,192,933.69"
8/26/1993,Not Available,Not Available,"4,386,242,601,442.26"
8/27/1993,Not Available,Not Available,"4,387,152,370,132.05"
8/30/1993,Not Available,Not Available,"4,387,703,056,421.76"
8/31/1993,Not Available,Not Available,"4,403,247,046,170.58"
9/1/1993,Not Available,Not Available,"4,398,851,455,983.04"
9/2/1993,Not Available,Not Available,"4,399,264,114,272.59"
9/3/1993,Not Available,Not Available,"4,390,740,764,704.03"
9/7/1993,Not Available,Not Available,"4,390,677,349,818.20"
9/8/1993,Not Available,Not Available,"4,391,317,318,053.12"
9/9/1993,Not Available,Not Available,"4,389,196,193,736.30"
9/10/1993,Not Available,Not Available,"4,384,113,738,028.86"
9/13/1993,Not Available,Not Available,"4,385,326,046,894.20"
9/14/1993,Not Available,Not Available,"4,387,136,569,001.27"
